commit,ns,nm,nf,entropy,la,ld,lt,fix,ndev,pd,npt,exp,rexp,sexp
9587beb2ee36a159b335845bc84469b68988cc30,1,2,4,1.7023560948322274,0.0,0.0,0,0,0,0,0.0,1,1.0,4
83e4362fe6ea5abfdbdf5f2b7102e1d83593968e,1,1,3,0.8972327481406945,0.9411764705882353,0.25,68,0,1,1,0.6666666666666666,2,2.0,3
4e88215547b4f3f2c0e7d7f4c7d207e6d2a3f378,1,1,1,0.0,3.0,1.0,1,0,1,1,0.0,3,3.0,0
2e446b6d428874480d178a9fa11b2b8f047f9148,1,1,1,0.0,0.3333333333333333,0.0,3,0,1,2,0.0,4,4.0,0
8fe6af853923e8f3117c9360bbbc35ee80699c22,1,1,1,0.0,0.75,0.5,4,0,1,3,0.0,5,5.0,0
674f43a851b061dc7b4e313f71f8d903770be3f2,1,1,1,0.0,0.0,0.0,0,0,0,0,0.0,6,6.0,4
6b3482f40264cdd0258dd5ea5b7cc3b35b0d1c6a,1,1,2,0.8112781244591328,0.3333333333333333,0.1111111111111111,9,0,1,5,0.0,7,7.0,5
45c315c5d2d2af297a743d6cda117938fbcda9fd,1,1,2,0.9998393017810485,0.0,0.0,0,0,0,0,0.0,8,8.0,0
85bc81b5eb9892307e6cf7a998322f71e05ebb60,1,1,1,0.0,0.0,0.0,0,0,0,0,0.0,9,9.0,0
d5c9b41ce926819530daf9d1b6d4ca767ea6b8e4,1,1,1,0.0,0.2905982905982906,0.1452991452991453,117,0,1,1,0.0,10,10.0,0
110f7acb3cbbed5ca3b7ea66f363386b89aa080e,1,1,1,0.0,0.664179104477612,0.1044776119402985,134,0,1,2,2.0,11,11.0,0
ad90dbec643a509701ce2bd9cc61a287af99ce81,7,8,9,2.06168816392413,1100.1052631578948,0.0861244019138756,209,0,1,3,0.1111111111111111,12,12.0,64
3ba8d86ecfc0e7a51001839b6a757eac7604eba8,1,1,4,0.8000776321095927,0.0,0.0,0,1,0,0,0.0,13,13.0,6
c30f3a22b0a84211e3362c0efe85ff5f54b03687,1,1,3,1.2873510081869528,0.08101571946795647,0.016324062877871828,1654,1,1,5,10.666666666666666,14,14.0,0
fd565baddd3080040b290cf3b08c1e7676aa5d88,103,104,107,3.6276293064416167,295.5238095238095,0.6428571428571429,42,1,1,2,0.3177570093457944,15,15.0,5624
