id,commit,commitdate,ns,nm,nf,entropy,purpose,la,ld,lt,fix,ndev,pd,npt,exp,rexp,sexp
0,9587beb2ee36a159b335845bc84469b68988cc30,2021-02-08 13:48:18+06:00,2,1,4,1.702356095,0,0,0,0,0,0,0,0,1,1,4
1,83e4362fe6ea5abfdbdf5f2b7102e1d83593968e,2021-02-09 06:26:37+06:00,1,1,3,0.897232748,0,0.941176471,0.25,68,0,1,1,0.666666667,2,2,3
2,4e88215547b4f3f2c0e7d7f4c7d207e6d2a3f378,2021-02-09 08:00:55+06:00,1,1,1,0,0,3,1,1,0,1,1,0,3,3,0
3,2e446b6d428874480d178a9fa11b2b8f047f9148,2021-02-09 09:31:24+06:00,1,1,1,0,0,0.333333333,0,3,0,1,2,0,4,4,0
4,8fe6af853923e8f3117c9360bbbc35ee80699c22,2021-02-09 09:38:33+06:00,1,1,1,0,0,0.75,0.5,4,0,1,3,0,5,5,0
5,674f43a851b061dc7b4e313f71f8d903770be3f2,2021-02-09 11:44:12+06:00,1,1,1,0,0,0,0,0,0,0,0,0,6,6,4
6,6b3482f40264cdd0258dd5ea5b7cc3b35b0d1c6a,2021-02-09 11:45:17+06:00,1,1,2,0.811278124,0,0.333333333,0.111111111,9,0,1,5,0,7,7,5
7,45c315c5d2d2af297a743d6cda117938fbcda9fd,2021-02-17 03:16:52+06:00,1,1,2,0.999839302,0,0,0,0,0,0,0,0,8,8,0
8,85bc81b5eb9892307e6cf7a998322f71e05ebb60,2021-02-17 05:23:33+06:00,1,1,1,0,0,0,0,0,0,0,0,0,9,9,0
9,d5c9b41ce926819530daf9d1b6d4ca767ea6b8e4,2021-02-17 05:42:02+06:00,1,1,1,0,0,0.290598291,0.145299145,117,0,1,1,0,10,10,0
10,110f7acb3cbbed5ca3b7ea66f363386b89aa080e,2021-02-19 16:29:49+06:00,1,1,1,0,0,0.664179104,0.104477612,134,0,1,2,2,11,11,0
11,ad90dbec643a509701ce2bd9cc61a287af99ce81,2021-02-20 02:52:56+06:00,8,7,9,2.061688164,0,1100.105263,0.086124402,209,0,1,3,0.111111111,12,12,64
12,3ba8d86ecfc0e7a51001839b6a757eac7604eba8,2021-03-16 05:48:46+06:00,1,1,4,0.800077632,0,0,0,0,1,0,0,0,13,13,6
